claim,verdict,description,date,url,source
,رئيس تحرير جريدة المصري اليوم السابق,,,https://www.saheeh.news/ar/node/198,saheeh_masr_website
,رئيس جمهورية مصر العربية,رئيس جمهورية مصر العربية، ووزير الدفاع السابق، تولى رئاسة الجمهورية في أول انتخابات رئاسية بعد الإطاحة بحكم الإخوان المسلمين 2013 ,,https://www.saheeh.news/index.php/ar/node/347,saheeh_masr_website
,فريق التحرير,,,https://www.saheeh.news/ar/node/1059,saheeh_masr_website
,وزير الزراعة واستصلاح الأراضي,,,https://www.saheeh.news/index.php/ar/node/3453,saheeh_masr_website
